method,n_total,k_error_n_ok,k_error_mean,k_error_ci95,nlpd_n_ok,nlpd_mean,nlpd_ci95,kl_n_ok,kl_mean,kl_ci95,lpd_true_n_ok,lpd_true_mean,lpd_true_ci95,mll_n_ok,mll_mean,mll_ci95,noise_var_n_ok,noise_var_mean,noise_var_ci95
RBF,5,5,1.0781796455383301,0.23550556735612727,5,-2.733762741088867,0.08341858418295993,5,2908073.15,2645656.7134934724,5,295.88603515625,13.924165258690818,5,2.912639284133911,0.15527613899126064,5,0.0001913178974064067,5.986384791000649e-05
Neural-GSM,5,5,0.9501820266246795,0.8339834290324016,5,-2.4308767795562742,0.4753701656072412,5,1717038.53125,4518182.408400926,5,266.82603149414064,41.75402253014749,5,2.9787511348724367,0.19549471184750772,5,0.00016480426857015117,4.139100046256612e-05
DKL,5,5,31.380014610290527,26.693567791253948,5,0.7286082744598389,6.917185005640776,5,76139.818359375,123062.34700853369,5,-6.63970947265625,649.8754835151502,5,3.418955135345459,0.2057023266881565,5,0.00010908784170169384,8.938345353911264e-06
F-SDN (real),5,4,0.41730164270848036,0.5901965532290783,3,-2.808882713317871,0.32395719237114434,3,13929.6396484375,9498.535500339345,3,309.67348225911456,46.46943685252225,3,140.07797241210938,19.32482178226731,3,0.00016280828519181037,0.0001049913448872475
F-SDN (complex),5,5,0.556105475127697,0.36422603427952377,4,-2.6033594608306885,0.5342595963103505,4,17248.176513671875,9822.739503087792,4,290.6697235107422,48.66814575658061,4,136.17598342895508,13.461472829643101,4,0.00018177624588133767,7.92140879361272e-05
