method,n_total,k_error_n_ok,k_error_mean,k_error_ci95,nlpd_n_ok,nlpd_mean,nlpd_ci95,kl_n_ok,kl_mean,kl_ci95,mll_n_ok,mll_mean,mll_ci95,noise_var_n_ok,noise_var_mean,noise_var_ci95
RBF,5,5,1.0000007390975951,5.170042391549044e-07,5,0.4869095027446747,0.49755242027551483,5,197191.6296875,163850.16540910554,5,-0.733562782406807,0.498971556052094,5,0.318369023501873,0.2639864076518686
Neural-GSM,5,4,0.6054288372397423,0.48026475405920094,4,-2.780313014984131,0.4641253385883583,4,3610.465171813965,10674.639926717837,4,6.884857773780823,5.833164290351148,4,0.0001836997180362232,6.23949088762121e-05
DKL,5,5,19.322140884399413,4.586867954306418,5,2.6257774949073793,7.601786782805826,5,4777.9240051269535,6897.8300019750495,5,2.5181822776794434,0.3122097215071495,5,0.00018812463677022606,6.207736624532986e-05
F-SDN (real),5,5,0.8736900448799133,0.18095558586815508,5,-0.7736729323863983,1.835707991970447,5,57266.01604614258,87212.90505588432,5,16.664933013916016,99.24247959987066,5,0.07315677423030138,0.1054870161696725
F-SDN (complex),5,5,1.7926750183105469,2.9842089123349784,4,-1.0027007833123207,2.1646726582332074,4,54023.120918273926,112666.69130291048,4,34.03660869598389,108.05006179655899,4,0.08393132073979359,0.1666319702145602
