method,n_ok,n_total,mean_pct,ci95_pct
RBF,5,5,107.5940155982971,24.032371539544712
Neural-GSM,5,5,132.3369538784027,93.19522906758745
DKL,5,5,3271.6394805908203,2372.905961571956
F-SDN (real),5,5,48.45189154148102,33.24271776876611
F-SDN (complex),5,5,51.08722180128098,37.20863124797251
