method,n_ok,n_total,mean_pct,ci95_pct
RBF,4,5,100.00005960464478,6.571005216970679e-05
Neural-GSM,4,5,65.55255800485611,41.02735864754428
DKL,4,5,2316.092824935913,624.3174498095088
F-SDN (real),4,5,71.38487845659256,34.101966595183484
F-SDN (complex),4,5,73.34683835506439,49.46805610932307
